alcohol_units_per_week,sex,stress_level
7.4,female,4.359999999999999
7.4,male,4.535294117647059
7.5,female,3.8230769230769233
7.5,male,3.972413793103448
7.6,female,4.2749999999999995
7.6,male,4.5249999999999995
7.7,female,4.371428571428571
7.7,male,4.457894736842105
7.8,female,4.218518518518518
7.8,male,4.521739130434782
7.9,female,4.333333333333333
7.9,male,4.321739130434782
8.0,female,4.2700000000000005
8.0,male,4.334615384615384
8.1,female,4.5
8.1,male,4.389285714285714
8.2,female,4.30625
8.2,male,3.8210526315789473
8.3,female,4.279166666666667
8.3,male,4.3149999999999995
8.4,female,4.185714285714286
8.4,male,4.25
8.5,female,4.332
8.5,male,4.730434782608696
8.6,female,4.384615384615385
8.6,male,4.0649999999999995
8.7,female,4.243478260869565
8.7,male,4.0200000000000005
8.8,female,4.647368421052631
8.8,male,4.316
8.9,female,4.141666666666667
8.9,male,4.230769230769231
9.0,female,4.33
9.0,male,4.013333333333334
9.1,female,4.135294117647058
9.1,male,4.153846153846154
9.2,female,4.51
9.2,male,4.369565217391305
9.3,female,4.452941176470588
9.3,male,4.278571428571429
9.4,female,4.3
9.4,male,4.325
9.5,female,4.286666666666666
9.5,male,4.666666666666667
9.6,female,4.329411764705882
9.6,male,4.135714285714285
9.7,female,4.409090909090909
9.7,male,4.4
9.8,female,4.257142857142857
9.8,male,4.841666666666667
9.9,female,4.214285714285714
9.9,male,4.127272727272727
10.0,female,4.557142857142857
10.0,male,4.3076923076923075
10.1,female,4.166666666666667
10.1,male,4.042857142857143
10.2,female,4.315384615384615
10.2,male,4.288888888888889
10.3,female,4.2875
10.3,male,4.633333333333334
10.4,female,4.05
10.4,male,5.2700000000000005
10.5,female,4.066666666666666
10.5,male,4.457142857142857
10.6,female,4.214285714285714
10.6,male,4.718181818181818
10.7,female,4.33
10.7,male,4.833333333333333
10.8,female,4.385714285714285
10.8,male,4.84
10.9,female,4.0875
10.9,male,4.618181818181818
11.0,female,3.8200000000000003
11.0,male,4.461538461538462
11.1,female,4.122222222222223
11.1,male,4.208333333333333
11.2,female,4.8999999999999995
11.2,male,4.88
11.3,female,4.6499999999999995
11.3,male,4.5
11.4,female,3.7600000000000002
11.4,male,4.4125
11.5,female,3.88
11.5,male,4.975
11.6,female,4.45
11.6,male,4.54
11.7,female,3.9444444444444446
11.7,male,3.8875
11.8,female,3.9
11.8,male,4.466666666666667
11.9,female,4.533333333333333
11.9,male,4.207692307692308
12.0,female,4.85
12.0,male,4.15
12.1,female,3.266666666666667
12.1,male,4.466666666666667
12.2,female,4.5
12.2,male,4.2
12.3,female,4.1000000000000005
12.3,male,4.0125
12.4,female,4.942857142857143
12.4,male,4.0
12.5,female,4.225
12.5,male,4.66
12.6,female,3.9333333333333336
12.6,male,4.533333333333334
12.7,female,4.033333333333333
12.7,male,4.3
12.8,female,4.675
12.8,male,4.116666666666666
12.9,female,4.1000000000000005
12.9,male,4.074999999999999
13.0,female,4.25
13.0,male,4.5
13.1,female,4.6
13.1,male,3.8
13.2,female,3.8000000000000003
13.2,male,3.4
13.3,female,4.540000000000001
13.3,male,4.383333333333334
13.4,female,4.6000000000000005
13.4,male,4.1
13.5,female,4.4
13.5,male,3.9
13.6,female,4.9
13.6,male,3.7
13.7,female,5.075
13.7,male,4.833333333333333
13.8,female,3.45
13.8,male,5.9
13.9,female,5.6
14.0,male,4.9
14.1,female,3.4
14.1,male,3.7
14.2,female,4.779999999999999
14.3,female,4.366666666666666
14.3,male,4.5
14.4,female,5.35
14.5,female,4.033333333333333
14.6,female,5.5
14.6,male,3.7
14.7,female,4.3
14.7,male,3.7
14.8,female,3.65
14.9,female,3.75
14.9,male,5.6
15.0,male,5.5
15.1,female,4.9
15.2,female,5.05
15.2,male,5.1
15.3,female,3.9
15.4,female,5.0
15.6,female,4.92
15.6,male,5.2
15.7,female,6.2
15.8,female,5.233333333333333
15.8,male,5.3
15.9,female,4.6
16.0,female,3.9000000000000004
16.0,male,4.5
16.1,male,3.8
16.2,female,4.4
16.2,male,4.3
16.3,female,6.0
16.4,female,5.5
16.6,female,5.066666666666666
16.7,female,4.9
16.7,male,6.1
16.8,female,6.2
17.0,female,3.5
17.1,female,4.1
17.1,male,5.3
17.2,female,4.65
17.3,female,4.85
17.3,male,2.5
17.4,female,4.733333333333333
17.5,female,5.666666666666667
18.1,female,5.0
18.4,male,4.0
18.5,male,6.0
18.6,female,3.9
18.7,female,5.3
19.0,female,3.7
19.2,female,5.1
19.3,female,5.1
19.5,female,3.0
19.6,female,4.1
19.7,female,4.7
19.8,female,4.7
19.9,female,5.35
20.0,male,6.0
20.3,female,3.1
20.4,female,4.9
20.6,female,3.2
20.9,female,4.2
21.1,female,3.1
21.3,female,5.05
21.7,female,5.9
21.8,female,4.3
21.9,female,5.5
