sleep_hours,sex,stress_level
6.2,male,4.2823529411764705
6.21,female,4.058333333333334
6.21,male,4.6000000000000005
6.22,female,4.326666666666667
6.22,male,4.62
6.23,female,4.28125
6.23,male,4.0649999999999995
6.24,female,4.5928571428571425
6.24,male,4.365384615384615
6.25,female,4.1000000000000005
6.25,male,4.466666666666667
6.26,female,4.304545454545455
6.26,male,4.3
6.27,female,4.395652173913043
6.27,male,3.8899999999999997
6.28,female,4.414285714285714
6.28,male,4.183333333333334
6.29,female,4.381818181818182
6.29,male,4.4523809523809526
6.3,female,4.316666666666666
6.3,male,4.18125
6.31,female,4.3545454545454545
6.31,male,4.5058823529411764
6.32,female,4.013636363636364
6.32,male,4.175
6.33,female,4.32
6.33,male,4.584615384615384
6.34,female,4.4875
6.34,male,4.416666666666667
6.35,female,4.266666666666667
6.35,male,4.404761904761905
6.36,female,4.166666666666667
6.36,male,4.378947368421053
6.37,female,4.233333333333333
6.37,male,4.188235294117647
6.38,female,3.940909090909091
6.38,male,4.138461538461538
6.39,female,4.513333333333334
6.39,male,3.9842105263157896
6.4,female,4.268965517241379
6.4,male,4.733333333333333
6.41,female,4.32
6.41,male,4.1066666666666665
6.42,female,4.261111111111111
6.42,male,4.331818181818182
6.43,female,4.039285714285714
6.43,male,4.56875
6.44,female,4.376
6.44,male,4.095000000000001
6.45,female,4.611111111111111
6.45,male,4.666666666666667
6.46,female,4.1
6.46,male,4.336
6.47,female,4.125
6.47,male,3.9045454545454543
6.48,female,4.278947368421052
6.48,male,4.258823529411765
6.49,female,4.09047619047619
6.49,male,4.35
6.5,female,4.409523809523809
6.5,male,4.58
6.51,female,4.180000000000001
6.51,male,4.041666666666667
6.52,female,4.311111111111111
6.52,male,4.4
6.53,female,4.558333333333334
6.53,male,4.6066666666666665
6.54,female,4.2375
6.54,male,4.447826086956522
6.55,female,4.353846153846154
6.55,male,4.366666666666667
6.56,female,4.245454545454546
6.56,male,4.285714285714286
6.57,female,4.118518518518519
6.57,male,4.052380952380952
6.58,female,4.163636363636363
6.58,male,4.505263157894737
6.59,female,4.223809523809524
6.59,male,4.409523809523809
6.6,female,4.2727272727272725
6.6,male,4.3
6.61,female,4.233333333333333
6.61,male,4.413333333333333
6.62,female,4.07037037037037
6.62,male,4.142857142857143
6.63,female,4.55
6.63,male,4.16
6.64,female,4.5
6.64,male,4.222222222222222
6.65,female,4.294736842105263
6.65,male,4.515789473684211
6.66,female,3.94
6.66,male,4.20952380952381
6.67,female,4.280952380952381
6.67,male,4.246666666666667
6.68,female,4.04
6.68,male,4.324137931034483
6.69,female,4.221052631578948
6.69,male,4.323076923076923
6.7,female,4.292
6.7,male,4.020689655172413
6.71,female,4.3
6.71,male,4.146153846153846
6.72,female,4.375862068965517
6.72,male,4.2
6.73,female,4.369565217391305
6.73,male,4.013636363636364
6.74,female,3.7960000000000003
6.74,male,4.445833333333334
6.75,female,4.310714285714286
6.75,male,4.339130434782609
6.76,female,4.333333333333333
6.76,male,4.332
6.77,female,4.209677419354839
6.77,male,4.157894736842105
6.78,female,4.343478260869565
6.78,male,4.305555555555555
6.79,female,4.2696969696969695
6.79,male,4.2875000000000005
6.8,female,4.075
6.8,male,4.233333333333333
6.81,female,4.327272727272727
6.81,male,3.8714285714285714
6.82,female,4.051724137931035
6.82,male,4.341666666666667
6.83,female,4.15609756097561
6.83,male,4.183333333333334
6.84,female,4.213636363636364
6.84,male,3.842857142857143
6.85,female,3.869230769230769
6.85,male,4.086666666666667
6.86,female,4.102439024390244
6.86,male,3.9782608695652173
6.87,female,4.106060606060606
6.87,male,4.2043478260869565
6.88,female,4.115
6.88,male,4.4904761904761905
6.89,female,4.41
6.89,male,4.0588235294117645
6.9,female,4.270588235294118
6.9,male,4.082352941176471
6.91,female,4.230434782608696
6.91,male,4.18
6.92,female,3.86551724137931
6.92,male,4.170833333333333
6.93,female,4.010344827586207
6.93,male,4.14375
6.94,female,4.111111111111111
6.94,male,4.388
6.95,female,4.177272727272728
6.95,male,4.16
6.96,female,3.9857142857142853
6.96,male,4.199999999999999
6.97,female,4.176666666666667
6.97,male,4.281481481481482
6.98,female,4.154166666666667
6.98,male,3.9555555555555557
6.99,female,4.070833333333334
6.99,male,4.415
7.0,female,4.4772727272727275
7.0,male,4.2368421052631575
7.01,female,4.072
7.01,male,4.53125
7.02,female,4.0
7.02,male,4.03125
7.03,female,4.32962962962963
7.03,male,4.16875
7.04,female,4.0888888888888895
7.04,male,4.072413793103448
7.05,female,3.9617647058823526
7.05,male,4.235
7.06,female,4.096666666666667
7.06,male,3.9428571428571426
7.07,female,4.225
7.07,male,4.205555555555556
7.08,female,4.256666666666667
7.08,male,4.386363636363637
7.09,female,4.286206896551724
7.09,male,4.242857142857143
7.1,female,4.127586206896551
7.1,male,4.0260869565217385
7.11,female,4.11875
7.11,male,4.141666666666667
7.12,female,4.34375
7.12,male,4.071428571428571
7.13,female,3.869230769230769
7.13,male,4.258333333333334
7.14,female,4.341666666666667
7.14,male,4.223076923076923
7.15,female,4.0888888888888895
7.15,male,4.041176470588235
7.16,female,4.158620689655172
7.16,male,4.439130434782609
7.17,female,4.336
7.17,male,3.8521739130434782
7.18,female,4.08
7.18,male,4.078571428571428
7.19,female,4.1066666666666665
7.19,male,3.8882352941176466
7.2,female,3.875
7.2,male,4.085
7.21,female,4.120833333333334
7.21,male,3.572222222222222
7.22,female,4.157692307692307
7.22,male,4.3307692307692305
7.23,female,3.9620689655172416
7.23,male,4.372727272727273
7.24,female,4.239130434782608
7.24,male,4.361538461538462
7.25,female,3.994117647058824
7.25,male,3.8333333333333335
7.26,female,4.0
7.26,male,4.05625
7.27,female,4.266666666666667
7.27,male,3.9153846153846152
7.28,female,4.389473684210526
7.28,male,4.157894736842105
7.29,female,3.9892857142857143
7.29,male,4.025
7.3,female,4.228571428571429
7.3,male,4.0736842105263165
7.31,female,3.809090909090909
7.31,male,4.068421052631579
7.32,female,4.246153846153846
7.32,male,3.96
7.33,female,4.136
7.33,male,4.044444444444444
7.34,female,4.386363636363637
7.34,male,4.0
7.35,female,3.810526315789474
7.35,male,3.611111111111111
7.36,female,4.023809523809524
7.36,male,3.9833333333333334
7.37,female,4.343999999999999
7.37,male,4.357142857142857
7.38,female,4.068421052631579
7.38,male,3.996551724137931
7.39,female,4.120833333333334
7.39,male,4.15
7.4,female,4.056521739130434
7.4,male,4.403703703703704
7.41,female,4.25
7.41,male,3.658333333333333
7.42,female,3.9333333333333336
7.42,male,4.245833333333334
7.43,female,4.167567567567567
7.43,male,4.142857142857143
7.44,female,3.732142857142857
7.44,male,4.3133333333333335
7.45,female,3.8696969696969696
7.45,male,3.8818181818181823
7.46,female,3.9499999999999997
7.46,male,3.9142857142857146
7.47,female,3.814814814814815
7.47,male,4.023529411764706
7.48,female,4.1049999999999995
7.48,male,3.8875
7.49,female,3.4133333333333336
7.49,male,4.31764705882353
7.5,female,3.95
7.5,male,4.143478260869565
7.51,female,4.06875
7.51,male,3.809090909090909
7.52,female,4.25
7.52,male,3.8000000000000003
7.53,female,4.1375
7.53,male,3.94
7.54,female,3.761904761904762
7.54,male,3.97
7.55,female,3.95
7.55,male,4.076190476190476
7.56,female,4.1
7.56,male,4.009090909090909
7.57,female,4.056521739130434
7.57,male,3.733333333333333
7.58,female,4.025
7.58,male,3.7333333333333334
7.59,female,3.722727272727273
7.59,male,4.133333333333334
7.6,female,3.8083333333333336
7.6,male,4.054545454545455
7.61,female,3.988235294117647
7.61,male,4.086666666666667
7.62,female,4.143478260869565
7.62,male,4.239999999999999
7.63,female,4.314285714285714
7.63,male,4.035294117647059
7.64,female,3.9565217391304346
7.64,male,4.26
7.65,female,4.082142857142857
7.65,male,3.9136363636363636
7.66,female,3.933333333333333
7.66,male,4.221052631578948
7.67,female,3.948387096774194
7.67,male,3.707142857142857
7.68,female,3.9823529411764707
7.68,male,3.6923076923076925
7.69,female,3.5999999999999996
7.69,male,3.9833333333333334
7.7,female,3.9299999999999997
7.7,male,3.9071428571428575
7.71,female,3.9166666666666665
7.71,male,3.7411764705882353
7.72,female,3.725
7.72,male,3.9733333333333336
7.73,female,4.08
7.73,male,3.7277777777777774
7.74,female,3.5785714285714287
7.74,male,3.75
7.75,female,3.9105263157894736
7.75,male,3.7615384615384615
7.76,female,3.811111111111111
7.76,male,3.6866666666666665
7.77,female,3.8619047619047615
7.77,male,3.91
7.78,female,3.9285714285714284
7.78,male,4.015384615384615
7.79,female,3.97
7.79,male,4.06875
7.8,female,3.6999999999999997
7.8,male,4.166666666666667
7.81,female,3.81875
7.81,male,3.8249999999999997
7.82,female,3.9421052631578952
7.82,male,4.005
7.83,female,4.033333333333333
7.83,male,3.90625
7.84,female,3.911764705882353
7.84,male,4.18235294117647
7.85,female,4.2700000000000005
7.85,male,3.6933333333333334
7.86,female,3.715
7.86,male,3.7
7.87,female,3.875
7.87,male,3.8000000000000003
7.88,female,3.6571428571428575
7.88,male,3.642857142857143
7.89,female,3.5411764705882356
7.89,male,4.1454545454545455
7.9,female,3.6538461538461537
7.9,male,4.271428571428571
7.91,female,3.9285714285714284
7.91,male,4.266666666666667
7.92,female,3.5
7.92,male,3.511111111111111
7.93,female,4.042105263157895
7.93,male,3.94
7.94,female,3.803846153846154
7.94,male,3.41875
7.95,female,4.052941176470589
7.95,male,3.8666666666666667
7.96,female,4.328571428571428
7.96,male,4.170588235294118
7.97,female,3.8850000000000002
7.97,male,4.226666666666667
7.98,female,3.9450000000000003
7.98,male,4.013333333333334
7.99,female,3.75
7.99,male,3.4
8.0,female,3.81
8.0,male,3.96
8.01,female,3.763157894736842
8.01,male,3.6263157894736846
8.02,female,3.707692307692308
8.02,male,3.446153846153846
8.03,female,3.8214285714285716
8.03,male,3.8684210526315788
8.04,female,3.623529411764706
8.04,male,3.894117647058824
8.05,female,3.6263157894736846
8.05,male,3.5545454545454547
8.06,female,3.6999999999999997
8.06,male,3.2625
8.07,female,3.628571428571429
8.07,male,3.5444444444444443
8.08,female,3.55
8.08,male,3.8631578947368417
8.09,female,3.9769230769230766
8.09,male,4.109090909090909
8.1,female,3.5928571428571425
8.1,male,4.052631578947368
8.11,female,3.838095238095238
8.11,male,3.7714285714285714
8.12,female,4.077777777777778
8.12,male,4.485714285714286
8.13,female,3.6
8.13,male,3.75
8.14,female,4.06
8.14,male,3.7684210526315787
8.15,female,3.9714285714285715
8.15,male,3.6
8.16,female,3.8923076923076922
8.16,male,3.175
8.17,female,3.835714285714286
8.17,male,3.5083333333333333
8.18,female,3.8333333333333335
8.18,male,3.9375
8.19,female,3.89375
8.19,male,3.5052631578947366
8.2,female,3.8631578947368417
8.2,male,3.957142857142857
8.21,female,3.5230769230769234
8.21,male,3.957142857142857
8.22,female,3.7095238095238097
8.22,male,3.98125
8.23,female,4.483333333333333
8.23,male,3.8
8.24,female,4.35
8.24,male,3.9214285714285713
8.25,female,3.675
8.25,male,4.05625
8.26,female,3.725
8.26,male,3.7454545454545456
8.27,female,4.11
8.27,male,3.7375
8.28,female,3.7571428571428567
8.28,male,4.819999999999999
8.29,female,3.9909090909090907
8.29,male,3.8600000000000003
8.3,female,3.53125
8.3,male,3.5500000000000003
8.31,female,3.6714285714285713
8.31,male,3.8600000000000003
8.32,female,3.8666666666666663
8.32,male,3.716666666666667
8.33,female,3.811111111111111
8.33,male,3.9799999999999995
8.34,female,3.8333333333333335
8.34,male,3.590909090909091
8.35,female,3.9454545454545453
8.35,male,4.07
8.36,female,3.81
8.36,male,3.6571428571428575
8.37,female,3.909090909090909
8.37,male,3.6666666666666665
8.38,female,3.5666666666666664
8.38,male,3.6666666666666665
8.39,female,3.472727272727273
8.39,male,4.2
8.4,female,4.025
8.4,male,3.59
8.41,female,4.46
8.41,male,3.909090909090909
8.42,female,3.590909090909091
8.42,male,3.7857142857142856
8.43,female,3.6333333333333337
8.43,male,3.957142857142857
8.44,female,4.133333333333334
8.44,male,3.988888888888889
8.45,female,3.707692307692308
8.45,male,3.5833333333333335
8.46,female,3.6
8.46,male,4.0
8.47,female,3.742857142857143
8.47,male,4.05
8.48,female,3.888888888888889
8.48,male,3.533333333333333
8.49,female,3.3600000000000003
8.49,male,3.84
8.5,female,4.0625
8.5,male,4.2
8.51,female,3.7642857142857147
8.51,male,5.533333333333334
8.52,female,3.525
8.52,male,3.8875
8.53,female,3.9
8.53,male,3.466666666666667
8.54,female,3.6666666666666665
8.54,male,4.1499999999999995
8.55,female,3.2750000000000004
8.55,male,4.175
8.56,female,3.84
8.56,male,4.322222222222222
8.57,female,3.5
8.57,male,3.533333333333333
8.58,female,3.9384615384615387
8.58,male,3.3857142857142857
8.59,female,3.942857142857143
8.59,male,4.045454545454546
8.6,female,3.8000000000000003
8.6,male,3.38
8.61,female,3.875
8.61,male,3.888888888888889
8.62,female,3.914285714285714
8.62,male,3.8166666666666664
8.63,female,4.116666666666666
8.63,male,3.9111111111111114
8.64,female,3.9200000000000004
8.64,male,3.4799999999999995
8.65,female,4.333333333333333
8.65,male,3.5
8.66,female,3.357142857142857
8.66,male,3.56
8.67,female,3.8285714285714287
8.67,male,4.0600000000000005
8.68,female,2.9285714285714284
8.68,male,3.9799999999999995
8.69,female,3.8833333333333333
8.69,male,3.766666666666667
8.7,female,4.075
8.7,male,3.733333333333333
8.71,female,4.1
8.71,male,3.875
8.72,female,3.6875
8.72,male,3.233333333333333
8.73,female,3.62
8.73,male,3.925
8.74,female,3.8
8.74,male,4.05
8.75,female,4.2
8.75,male,3.7142857142857144
8.76,female,3.325
8.76,male,3.6399999999999997
8.77,male,3.5
8.78,female,3.5
8.78,male,3.94
8.79,female,4.616666666666666
8.79,male,3.725
8.8,female,3.8000000000000003
8.8,male,3.9
8.81,female,3.975
8.81,male,3.6714285714285713
8.82,female,3.9375
8.82,male,3.5799999999999996
8.83,female,3.6333333333333333
8.83,male,3.6833333333333336
8.84,female,3.45
8.84,male,2.86
8.85,female,3.9749999999999996
8.85,male,3.733333333333333
8.86,female,3.44
8.86,male,3.957142857142857
8.87,female,3.59
8.87,male,3.1875
8.88,female,4.283333333333334
8.88,male,3.75
8.89,female,3.5666666666666664
8.89,male,3.5999999999999996
8.9,female,3.9299999999999997
8.9,male,4.275
8.91,female,3.6999999999999997
8.91,male,3.5571428571428574
8.92,female,3.5
8.92,male,3.716666666666667
8.93,female,3.9875
8.93,male,3.55
8.94,female,2.9
8.94,male,3.075
8.95,female,3.488888888888889
8.95,male,3.5333333333333337
8.96,female,3.55
8.96,male,3.25
8.97,female,4.1571428571428575
8.97,male,4.2
8.98,female,4.366666666666666
8.98,male,3.2600000000000002
8.99,female,4.533333333333333
8.99,male,4.1
9.0,female,3.7600000000000002
9.0,male,4.025
9.01,female,2.85
9.01,male,3.75
9.02,female,3.8000000000000003
9.02,male,3.6333333333333333
9.03,female,3.45
9.03,male,2.914285714285714
9.04,female,3.7999999999999994
9.04,male,3.414285714285714
9.05,female,3.1
9.05,male,3.5714285714285716
9.06,female,3.6
9.06,male,4.4
9.07,female,3.5833333333333335
9.07,male,3.1
9.08,female,3.05
9.08,male,3.2
9.09,female,4.35
9.09,male,3.7
9.1,female,3.325
9.1,male,3.2375
9.11,female,3.8333333333333335
9.11,male,3.9200000000000004
9.12,female,3.25
9.12,male,4.133333333333334
9.13,female,3.2999999999999994
9.13,male,3.5799999999999996
9.14,female,3.3000000000000003
9.14,male,4.7
9.15,female,3.033333333333333
9.15,male,2.7800000000000002
9.16,female,4.45
9.16,male,3.5666666666666664
9.17,female,3.0
9.17,male,4.333333333333333
9.18,female,3.3333333333333335
9.18,male,4.0
9.19,female,3.475
9.19,male,3.933333333333333
9.2,female,2.3
9.2,male,5.2
9.21,female,3.4000000000000004
9.21,male,3.8499999999999996
9.22,female,3.35
9.22,male,3.6
9.23,female,3.3333333333333335
9.23,male,3.6
9.24,female,3.1666666666666665
9.24,male,3.6
9.25,female,3.675
9.25,male,3.9
9.26,female,3.9
9.26,male,3.3499999999999996
9.27,female,3.6999999999999997
9.27,male,2.8000000000000003
9.28,female,3.175
9.28,male,3.15
9.29,female,3.9333333333333336
9.29,male,3.9333333333333336
9.3,female,3.5
9.3,male,3.35
9.31,female,3.733333333333334
9.31,male,4.0
9.32,female,3.2
9.33,female,3.8000000000000003
9.33,male,3.3666666666666667
9.34,female,3.5
9.34,male,3.1500000000000004
9.35,female,3.233333333333334
9.35,male,3.6333333333333333
9.36,female,4.033333333333334
9.36,male,4.3
9.37,female,3.3
9.37,male,2.9333333333333336
9.38,female,3.233333333333333
9.39,female,4.366666666666667
9.39,male,4.050000000000001
9.4,female,3.3
9.4,male,3.0
9.41,female,3.55
9.41,male,4.0
9.42,male,3.625
9.43,female,1.9
9.43,male,3.8499999999999996
9.44,female,3.1999999999999997
9.44,male,2.45
9.45,female,3.266666666666667
9.45,male,3.9
9.47,female,3.15
9.47,male,3.1
9.48,female,4.3
9.49,male,3.566666666666667
9.5,female,3.7913793103448277
9.5,male,3.425
