alcohol_units_per_week,sex,sleep_hours
20.0,male,5.82
20.3,female,7.97
20.4,female,8.19
20.6,female,8.11
20.9,female,8.17
21.1,female,9.34
21.3,female,8.489999999999998
21.7,female,8.21
21.8,female,8.2
21.9,female,8.41
