Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Calories_per_hour,Water_per_kg,HRR,Rel_Intensity
23.0,Male,56.2,1.76,195.0,141.0,55.0,1.45,1195.0,HIIT,23.9,3.2,4.0,1.0,22.61,824.1379310344828,0.05693950177935943,140.0,0.6142857142857143
39.0,Female,71.3,1.77,171.0,124.0,74.0,0.69,871.0,Cardio,21.9,2.1,5.0,1.0,14.31,1262.3188405797102,0.02945301542776999,97.0,0.5154639175257731
54.0,Female,47.7,1.56,181.0,128.0,74.0,1.5,853.0,Yoga,26.5,1.5,3.0,1.0,23.64,568.6666666666666,0.031446540880503145,107.0,0.5046728971962616
33.0,Male,63.0,1.51,184.0,169.0,71.0,1.3,1136.0,Cardio,23.8,2.3,3.0,2.0,22.69,873.8461538461538,0.0365079365079365,113.0,0.8672566371681416
26.0,Male,129.9,1.71,196.0,136.0,74.0,1.27,931.0,Yoga,26.6,1.8,5.0,1.0,21.04,733.0708661417323,0.013856812933025403,122.0,0.5081967213114754
22.0,Female,102.4,1.5,173.0,156.0,55.0,1.44,453.0,HIIT,17.5,1.6,4.0,3.0,18.23,314.58333333333337,0.015625,118.0,0.8559322033898306
36.0,Female,64.2,1.78,192.0,130.0,74.0,1.38,1708.0,Yoga,31.9,2.1,3.0,1.0,25.59,1237.68115942029,0.03271028037383177,118.0,0.4745762711864407
18.0,Male,129.4,1.5,177.0,145.0,71.0,1.37,772.0,Strength,22.0,1.7,5.0,1.0,18.07,563.5036496350365,0.013137557959814528,106.0,0.6981132075471698
25.0,Male,57.2,1.82,184.0,140.0,74.0,1.15,888.0,Strength,26.9,2.6,4.0,2.0,15.23,772.1739130434784,0.045454545454545456,110.0,0.6
59.0,Male,71.8,1.5,165.0,152.0,74.0,1.94,758.0,Yoga,28.9,3.3,3.0,1.0,16.87,390.7216494845361,0.04596100278551532,91.0,0.8571428571428571
18.0,Male,112.4,1.71,177.0,165.0,55.0,1.56,1044.0,HIIT,33.5,1.7,2.0,2.0,24.43,669.2307692307692,0.015124555160142347,122.0,0.9016393442622951
18.0,Male,40.0,1.72,188.0,155.0,74.0,1.51,1266.0,Cardio,26.4,2.5,2.0,2.0,17.79,838.4105960264901,0.0625,114.0,0.7105263157894737
25.0,Female,64.3,1.65,183.0,169.0,67.0,1.28,1783.0,Cardio,20.0,3.2,2.0,3.0,20.59,1392.96875,0.04976671850699845,116.0,0.8793103448275862
32.0,Male,72.4,1.74,189.0,127.0,60.0,1.4,1090.0,Yoga,16.9,1.6,2.0,1.0,17.68,778.5714285714287,0.022099447513812154,129.0,0.5193798449612403
28.0,Male,62.4,1.56,193.0,141.0,55.0,2.0,861.0,Cardio,32.2,3.6,3.0,1.0,18.61,430.5,0.057692307692307696,138.0,0.6231884057971014
27.0,Female,78.6,1.65,198.0,127.0,66.0,1.61,938.0,Yoga,26.8,3.1,3.0,1.0,17.92,582.6086956521739,0.03944020356234097,132.0,0.4621212121212121
44.0,Female,45.0,1.53,199.0,158.0,50.0,0.7,930.0,Strength,21.9,3.6,4.0,1.0,27.74,1328.5714285714287,0.08,149.0,0.7248322147651006
20.0,Female,103.4,1.53,180.0,166.0,56.0,1.28,631.0,HIIT,23.0,3.0,4.0,1.0,19.18,492.96875,0.029013539651837523,124.0,0.8870967741935484
51.0,Male,79.2,1.85,178.0,147.0,51.0,1.52,1355.0,Strength,23.2,2.0,4.0,1.0,18.95,891.4473684210526,0.025252525252525252,127.0,0.7559055118110236
52.0,Female,40.0,1.84,181.0,156.0,56.0,1.2,1258.0,Cardio,25.0,2.0,4.0,2.0,12.32,1048.3333333333335,0.05,125.0,0.8
35.0,Male,75.7,1.61,192.0,147.0,52.0,0.92,1211.0,Strength,21.2,2.4,3.0,2.0,23.19,1316.304347826087,0.031704095112285335,140.0,0.6785714285714286
21.0,Male,76.8,1.75,166.0,125.0,74.0,1.56,1152.0,Strength,25.1,2.7,3.0,1.0,16.66,738.4615384615385,0.03515625000000001,92.0,0.5543478260869565
48.0,Female,112.6,1.69,160.0,162.0,63.0,0.89,1482.0,Cardio,22.6,2.5,4.0,2.0,12.32,1665.1685393258426,0.022202486678507993,97.0,1.0206185567010309
18.0,Male,73.7,1.78,192.0,154.0,73.0,1.18,851.0,Strength,27.4,2.6,2.0,2.0,21.08,721.1864406779662,0.035278154681139755,119.0,0.680672268907563
18.0,Female,84.0,1.71,194.0,148.0,52.0,0.92,621.0,Strength,28.3,3.4,3.0,3.0,17.99,675.0,0.04047619047619048,142.0,0.676056338028169
28.0,Male,68.0,1.7,174.0,155.0,68.0,0.74,1464.0,Yoga,17.0,2.3,3.0,2.0,21.67,1978.3783783783783,0.033823529411764704,106.0,0.8207547169811321
23.0,Male,107.6,1.5,181.0,136.0,71.0,1.53,1062.0,Cardio,10.0,2.3,5.0,3.0,23.77,694.1176470588235,0.02137546468401487,110.0,0.5909090909090909
30.0,Female,54.3,1.82,185.0,168.0,66.0,1.4,1415.0,Strength,25.4,3.6,3.0,1.0,26.4,1010.7142857142858,0.06629834254143648,119.0,0.8571428571428571
18.0,Female,42.8,1.89,194.0,162.0,73.0,2.0,736.0,Strength,22.5,1.5,3.0,2.0,18.54,368.0,0.03504672897196262,121.0,0.7355371900826446
37.0,Female,55.4,1.68,197.0,146.0,52.0,1.04,338.0,Cardio,27.4,3.2,3.0,3.0,17.71,325.0,0.05776173285198556,145.0,0.6482758620689655
49.0,Female,102.4,1.65,185.0,148.0,68.0,1.27,980.0,Cardio,34.8,2.0,5.0,2.0,15.52,771.6535433070866,0.01953125,117.0,0.6837606837606838
42.0,Female,95.5,1.95,168.0,125.0,72.0,1.91,632.0,HIIT,26.1,2.0,4.0,1.0,12.32,330.89005235602093,0.020942408376963352,96.0,0.5520833333333334
27.0,Female,58.7,1.98,199.0,145.0,52.0,2.0,1119.0,Cardio,23.0,2.7,2.0,3.0,18.99,559.5,0.04599659284497445,147.0,0.6326530612244898
35.0,Female,49.7,1.86,161.0,146.0,62.0,1.12,867.0,Strength,15.2,1.8,4.0,3.0,12.32,774.1071428571428,0.03621730382293763,99.0,0.8484848484848485
24.0,Female,86.5,1.65,196.0,169.0,59.0,1.08,771.0,Cardio,27.3,2.1,3.0,1.0,12.9,713.8888888888888,0.024277456647398846,137.0,0.8029197080291971
44.0,Female,63.6,1.78,167.0,129.0,74.0,1.34,1165.0,Yoga,10.7,3.4,4.0,1.0,15.73,869.4029850746268,0.05345911949685534,93.0,0.5913978494623656
52.0,Male,58.7,1.58,169.0,131.0,53.0,1.14,900.0,HIIT,28.5,3.3,3.0,2.0,19.62,789.4736842105264,0.05621805792163543,116.0,0.6724137931034483
49.0,Female,56.6,1.75,198.0,120.0,72.0,1.12,1767.0,Yoga,23.6,2.6,2.0,2.0,34.37,1577.6785714285713,0.045936395759717315,126.0,0.38095238095238093
36.0,Female,40.0,1.71,178.0,169.0,69.0,1.3,1519.0,HIIT,27.5,2.7,4.0,1.0,39.74,1168.4615384615383,0.0675,109.0,0.9174311926605505
23.0,Female,67.7,1.73,188.0,162.0,54.0,1.76,954.0,Yoga,18.0,3.2,3.0,1.0,16.07,542.0454545454545,0.047267355982274745,134.0,0.8059701492537313
56.0,Female,40.0,1.74,172.0,146.0,74.0,1.43,876.0,Yoga,26.0,3.4,2.0,1.0,19.63,612.5874125874126,0.08499999999999999,98.0,0.7346938775510204
48.0,Female,68.0,1.69,185.0,144.0,68.0,1.23,695.0,Yoga,14.2,2.6,2.0,1.0,28.93,565.040650406504,0.03823529411764706,117.0,0.6495726495726496
24.0,Male,68.3,1.74,184.0,161.0,51.0,1.9,566.0,Cardio,27.5,3.5,4.0,2.0,16.26,297.89473684210526,0.05124450951683748,133.0,0.8270676691729323
22.0,Female,99.1,1.72,182.0,169.0,62.0,1.14,1105.0,Yoga,31.4,3.6,4.0,1.0,16.91,969.2982456140352,0.03632694248234107,120.0,0.8916666666666667
20.0,Female,72.9,1.63,164.0,156.0,51.0,1.11,582.0,Strength,27.1,3.2,3.0,2.0,19.83,524.3243243243243,0.0438957475994513,113.0,0.9292035398230089
44.0,Female,40.0,1.68,175.0,156.0,74.0,1.04,1010.0,Cardio,28.1,1.8,3.0,3.0,12.32,971.1538461538461,0.045,101.0,0.8118811881188119
33.0,Female,58.3,1.77,167.0,153.0,74.0,1.41,969.0,Strength,29.5,2.6,2.0,1.0,20.47,687.2340425531916,0.04459691252144083,93.0,0.8494623655913979
18.0,Male,40.0,1.64,177.0,134.0,53.0,0.98,468.0,Strength,25.6,2.1,3.0,3.0,18.78,477.55102040816325,0.052500000000000005,124.0,0.6532258064516129
59.0,Male,45.8,1.5,163.0,137.0,55.0,1.98,1306.0,Cardio,24.0,2.9,4.0,2.0,26.25,659.5959595959596,0.06331877729257643,108.0,0.7592592592592593
27.0,Male,52.3,1.75,180.0,128.0,61.0,1.92,931.0,Strength,15.0,2.5,4.0,2.0,23.23,484.89583333333337,0.047801147227533466,119.0,0.5630252100840336
33.0,Female,76.3,1.95,188.0,125.0,72.0,0.95,899.0,Strength,21.7,2.3,5.0,1.0,26.08,946.3157894736843,0.030144167758846655,116.0,0.45689655172413796
47.0,Male,77.5,1.72,176.0,151.0,56.0,1.39,679.0,Cardio,13.3,3.5,2.0,3.0,24.32,488.48920863309354,0.04516129032258064,120.0,0.7916666666666666
18.0,Male,65.3,1.8,197.0,165.0,56.0,0.74,1208.0,HIIT,26.1,3.3,3.0,3.0,12.32,1632.4324324324325,0.05053598774885146,141.0,0.7730496453900709
46.0,Female,40.0,1.58,177.0,132.0,58.0,1.29,1189.0,Strength,31.1,2.5,3.0,2.0,12.73,921.7054263565891,0.0625,119.0,0.6218487394957983
27.0,Male,96.3,1.61,198.0,159.0,70.0,1.16,1203.0,Cardio,32.1,3.1,3.0,1.0,12.32,1037.0689655172414,0.032191069574247146,128.0,0.6953125
34.0,Female,49.6,1.52,191.0,146.0,59.0,1.59,744.0,HIIT,22.2,1.6,3.0,1.0,20.97,467.92452830188677,0.03225806451612903,132.0,0.6590909090909091
45.0,Male,86.4,1.51,181.0,159.0,69.0,1.23,1313.0,Cardio,35.0,3.3,3.0,3.0,16.06,1067.479674796748,0.03819444444444444,112.0,0.8035714285714286
55.0,Female,68.4,1.85,175.0,150.0,58.0,1.16,1020.0,Cardio,29.2,2.5,4.0,2.0,22.87,879.3103448275863,0.03654970760233918,117.0,0.7863247863247863
18.0,Female,56.9,1.77,183.0,131.0,57.0,1.28,1052.0,Cardio,20.7,3.5,4.0,2.0,18.57,821.875,0.061511423550087874,126.0,0.5873015873015873
41.0,Female,51.1,1.94,181.0,137.0,72.0,1.23,1084.0,Strength,16.4,2.3,3.0,2.0,16.41,881.3008130081301,0.04500978473581213,109.0,0.5963302752293578
24.0,Male,47.6,1.51,175.0,120.0,70.0,0.78,583.0,Strength,22.6,1.7,5.0,1.0,13.71,747.4358974358975,0.03571428571428571,105.0,0.47619047619047616
26.0,Female,88.8,1.7,193.0,169.0,68.0,1.91,1145.0,Strength,18.1,3.7,2.0,2.0,30.34,599.4764397905759,0.04166666666666667,125.0,0.808
18.0,Female,67.5,1.69,177.0,169.0,72.0,1.07,975.0,Strength,26.2,1.6,4.0,3.0,14.08,911.214953271028,0.023703703703703706,105.0,0.9238095238095239
29.0,Male,96.7,1.7,175.0,141.0,54.0,2.0,880.0,Yoga,32.9,2.3,2.0,3.0,13.16,440.0,0.023784901758014475,121.0,0.71900826446281
26.0,Female,55.7,1.99,172.0,142.0,68.0,2.0,1583.0,Strength,18.9,3.2,4.0,1.0,12.32,791.5,0.05745062836624776,104.0,0.7115384615384616
43.0,Male,112.0,1.71,166.0,146.0,58.0,1.62,815.0,HIIT,31.2,2.6,3.0,1.0,21.1,503.0864197530864,0.023214285714285715,108.0,0.8148148148148148
48.0,Male,75.2,1.72,193.0,169.0,59.0,1.54,1726.0,Cardio,30.9,1.9,2.0,2.0,18.64,1120.7792207792209,0.02526595744680851,134.0,0.8208955223880597
29.0,Female,72.0,1.66,167.0,144.0,68.0,0.87,1248.0,HIIT,10.0,3.6,4.0,3.0,17.55,1434.4827586206898,0.05,99.0,0.7676767676767676
57.0,Female,63.6,1.87,170.0,158.0,65.0,1.56,840.0,Strength,23.7,3.6,4.0,1.0,12.32,538.4615384615385,0.05660377358490566,105.0,0.8857142857142857
22.0,Female,75.7,1.56,194.0,142.0,61.0,1.23,643.0,Strength,28.8,2.3,3.0,3.0,13.93,522.7642276422764,0.030383091149273445,133.0,0.6090225563909775
20.0,Male,59.1,1.62,191.0,127.0,54.0,1.02,995.0,Strength,26.2,3.4,3.0,2.0,12.46,975.4901960784314,0.05752961082910321,137.0,0.5328467153284672
39.0,Female,41.3,1.76,175.0,136.0,69.0,1.42,1096.0,Yoga,24.3,3.2,3.0,2.0,15.36,771.830985915493,0.0774818401937046,106.0,0.6320754716981132
41.0,Male,40.0,1.77,176.0,148.0,65.0,1.03,1238.0,Yoga,11.6,1.9,5.0,1.0,22.98,1201.9417475728155,0.0475,111.0,0.7477477477477478
41.0,Female,63.7,1.93,195.0,155.0,61.0,1.18,1064.0,HIIT,21.2,3.4,4.0,1.0,15.76,901.6949152542373,0.053375196232339085,134.0,0.7014925373134329
31.0,Female,100.0,1.75,190.0,169.0,67.0,1.46,1573.0,HIIT,20.8,3.4,4.0,2.0,18.69,1077.3972602739727,0.034,123.0,0.8292682926829268
20.0,Male,45.0,1.68,171.0,154.0,74.0,1.5,1692.0,Yoga,10.0,2.4,4.0,1.0,12.32,1128.0,0.05333333333333333,97.0,0.8247422680412371
26.0,Male,47.1,1.61,189.0,138.0,52.0,1.26,1095.0,Yoga,19.3,3.6,3.0,3.0,29.91,869.047619047619,0.07643312101910828,137.0,0.6277372262773723
37.0,Female,72.1,1.83,164.0,152.0,58.0,1.58,1091.0,Cardio,34.4,3.3,4.0,2.0,16.92,690.506329113924,0.04576976421636616,106.0,0.8867924528301887
59.0,Male,57.5,1.81,175.0,169.0,58.0,1.47,1349.0,Cardio,24.7,2.5,5.0,2.0,12.32,917.687074829932,0.043478260869565216,117.0,0.9487179487179487
22.0,Male,54.3,1.85,165.0,144.0,53.0,2.0,1740.0,Cardio,26.6,3.7,4.0,2.0,20.04,870.0,0.06813996316758748,112.0,0.8125
25.0,Male,63.9,1.67,178.0,144.0,61.0,1.56,868.0,Strength,24.8,2.4,3.0,2.0,24.51,556.4102564102564,0.03755868544600939,117.0,0.7094017094017094
32.0,Male,56.6,2.0,190.0,123.0,65.0,1.25,1309.0,HIIT,14.7,3.5,4.0,3.0,17.83,1047.2,0.06183745583038869,125.0,0.464
37.0,Female,68.9,1.65,171.0,132.0,50.0,1.19,767.0,Strength,23.0,2.8,3.0,3.0,20.71,644.5378151260504,0.04063860667634252,121.0,0.6776859504132231
29.0,Female,95.3,1.72,190.0,169.0,74.0,1.49,733.0,HIIT,29.2,3.7,5.0,3.0,20.06,491.9463087248322,0.038824763903462754,116.0,0.8189655172413793
30.0,Female,96.3,2.0,173.0,136.0,74.0,2.0,1095.0,HIIT,20.4,1.5,5.0,2.0,25.83,547.5,0.01557632398753894,99.0,0.6262626262626263
28.0,Male,84.4,1.74,181.0,142.0,52.0,1.45,1392.0,Strength,22.0,2.6,2.0,1.0,34.01,960.0,0.030805687203791468,129.0,0.6976744186046512
33.0,Male,60.5,1.54,195.0,126.0,56.0,1.27,1237.0,Cardio,29.1,3.7,4.0,2.0,21.23,974.0157480314961,0.061157024793388436,139.0,0.5035971223021583
48.0,Female,49.8,1.69,184.0,143.0,56.0,1.37,1030.0,Strength,17.7,2.7,3.0,3.0,25.57,751.8248175182481,0.054216867469879526,128.0,0.6796875
32.0,Male,47.2,1.81,187.0,129.0,65.0,1.19,919.0,HIIT,30.5,1.9,4.0,2.0,31.5,772.2689075630252,0.04025423728813559,122.0,0.5245901639344263
54.0,Female,56.3,1.59,172.0,169.0,68.0,1.47,936.0,Cardio,19.6,3.1,4.0,2.0,18.7,636.7346938775511,0.055062166962699825,104.0,0.9711538461538461
49.0,Male,45.0,1.84,190.0,159.0,53.0,1.3,864.0,HIIT,26.5,1.5,4.0,2.0,17.11,664.6153846153846,0.03333333333333333,137.0,0.7737226277372263
53.0,Male,87.7,1.84,164.0,152.0,53.0,1.37,1066.0,Cardio,24.7,2.6,5.0,2.0,25.16,778.1021897810218,0.029646522234891677,111.0,0.8918918918918919
54.0,Female,46.1,1.85,187.0,162.0,63.0,1.35,772.0,Strength,25.7,3.6,4.0,1.0,20.62,571.8518518518518,0.07809110629067245,124.0,0.7983870967741935
18.0,Female,69.8,1.82,178.0,168.0,58.0,1.9,963.0,HIIT,31.4,3.7,5.0,2.0,34.21,506.8421052631579,0.05300859598853869,120.0,0.9166666666666666
18.0,Male,79.2,1.77,198.0,137.0,66.0,1.2,1429.0,Yoga,12.9,3.7,3.0,2.0,19.07,1190.8333333333335,0.04671717171717172,132.0,0.5378787878787878
29.0,Male,60.6,1.76,188.0,148.0,50.0,1.38,676.0,Strength,30.2,2.5,3.0,2.0,23.73,489.8550724637682,0.041254125412541254,138.0,0.7101449275362319
22.0,Female,53.3,1.73,172.0,144.0,71.0,1.1,1235.0,Strength,22.8,2.6,3.0,1.0,13.13,1122.7272727272727,0.04878048780487805,101.0,0.7227722772277227
20.0,Male,95.7,1.85,196.0,136.0,58.0,1.44,987.0,HIIT,23.8,1.5,3.0,2.0,15.47,685.4166666666667,0.01567398119122257,138.0,0.5652173913043478
29.0,Female,57.4,1.74,198.0,165.0,67.0,1.58,880.0,Strength,20.9,3.3,4.0,1.0,18.69,556.9620253164557,0.05749128919860627,131.0,0.7480916030534351
47.0,Male,87.3,1.9,194.0,164.0,74.0,1.87,1073.0,HIIT,23.7,3.5,5.0,2.0,20.1,573.7967914438502,0.04009163802978236,120.0,0.75
20.0,Female,65.3,1.75,193.0,136.0,51.0,0.58,1218.0,Yoga,28.4,3.0,4.0,1.0,19.66,2100.0,0.045941807044410414,142.0,0.5985915492957746
18.0,Male,79.2,1.66,176.0,154.0,72.0,1.58,1493.0,Strength,18.1,2.3,3.0,1.0,14.27,944.9367088607595,0.029040404040404037,104.0,0.7884615384615384
18.0,Male,73.8,1.75,187.0,149.0,74.0,1.64,1065.0,HIIT,17.7,2.4,3.0,1.0,17.79,649.390243902439,0.032520325203252036,113.0,0.6637168141592921
33.0,Female,66.3,1.76,164.0,120.0,74.0,1.44,419.0,Strength,25.4,2.6,3.0,3.0,20.67,290.97222222222223,0.03921568627450981,90.0,0.5111111111111111
27.0,Male,72.8,1.82,162.0,136.0,57.0,1.23,780.0,HIIT,11.4,3.5,4.0,3.0,22.59,634.1463414634146,0.04807692307692308,105.0,0.7523809523809524
38.0,Male,50.0,1.75,186.0,135.0,59.0,2.0,695.0,Strength,23.4,1.6,4.0,1.0,49.84,347.5,0.032,127.0,0.5984251968503937
29.0,Female,93.5,1.85,166.0,167.0,74.0,1.01,670.0,Cardio,23.2,2.6,3.0,1.0,19.83,663.3663366336633,0.027807486631016044,92.0,1.0108695652173914
54.0,Male,84.0,1.94,178.0,133.0,53.0,1.47,942.0,Yoga,30.7,1.5,4.0,1.0,16.61,640.8163265306123,0.017857142857142856,125.0,0.64
37.0,Female,55.3,1.73,183.0,134.0,51.0,1.1,976.0,Yoga,31.3,2.8,2.0,2.0,16.26,887.2727272727273,0.05063291139240506,132.0,0.6287878787878788
21.0,Male,66.6,1.85,189.0,121.0,56.0,0.88,993.0,HIIT,13.9,3.4,5.0,1.0,12.32,1128.409090909091,0.05105105105105105,133.0,0.48872180451127817
21.0,Female,65.8,1.62,172.0,127.0,62.0,1.35,1307.0,Cardio,26.0,3.4,3.0,1.0,15.3,968.148148148148,0.05167173252279635,110.0,0.5909090909090909
26.0,Female,59.8,1.6,180.0,151.0,58.0,1.2,611.0,HIIT,16.4,2.5,3.0,3.0,12.63,509.1666666666667,0.04180602006688963,122.0,0.7622950819672131
42.0,Female,80.3,1.94,192.0,169.0,52.0,1.72,753.0,Yoga,24.6,3.5,5.0,2.0,33.99,437.7906976744186,0.043586550435865505,140.0,0.8357142857142857
31.0,Female,129.9,1.7,190.0,169.0,69.0,1.38,735.0,Strength,10.0,2.1,3.0,3.0,16.07,532.608695652174,0.016166281755196306,121.0,0.8264462809917356
50.0,Female,40.0,1.75,162.0,169.0,55.0,2.0,1449.0,Yoga,31.7,3.5,4.0,3.0,28.18,724.5,0.0875,107.0,1.0654205607476634
51.0,Female,91.7,1.72,168.0,137.0,58.0,0.86,1529.0,Cardio,10.0,1.7,3.0,1.0,14.15,1777.906976744186,0.018538713195201745,110.0,0.7181818181818181
18.0,Male,64.8,1.82,169.0,156.0,69.0,1.93,1516.0,Strength,21.9,3.5,3.0,2.0,17.69,785.4922279792746,0.05401234567901235,100.0,0.87
54.0,Male,60.1,1.63,174.0,159.0,72.0,0.52,893.0,Cardio,18.4,3.6,4.0,1.0,20.56,1717.3076923076922,0.059900166389351084,102.0,0.8529411764705882
38.0,Female,59.0,1.73,169.0,134.0,67.0,1.36,1783.0,Yoga,24.5,2.4,3.0,1.0,12.32,1311.0294117647059,0.04067796610169491,102.0,0.6568627450980392
37.0,Male,46.3,1.69,181.0,141.0,67.0,1.64,1445.0,Strength,20.7,2.5,4.0,2.0,19.11,881.0975609756098,0.05399568034557236,114.0,0.6491228070175439
21.0,Male,66.9,1.69,197.0,149.0,74.0,1.37,872.0,Yoga,16.6,2.6,5.0,2.0,33.07,636.4963503649634,0.03886397608370702,123.0,0.6097560975609756
19.0,Female,40.0,1.93,167.0,158.0,74.0,1.19,1265.0,Yoga,24.7,2.6,4.0,3.0,12.32,1063.0252100840337,0.065,93.0,0.9032258064516129
32.0,Female,79.0,1.6,165.0,149.0,65.0,1.59,1245.0,Yoga,24.3,2.2,3.0,2.0,18.69,783.0188679245283,0.027848101265822787,100.0,0.84
36.0,Female,50.1,1.85,199.0,140.0,68.0,0.91,1243.0,Strength,30.7,2.8,4.0,2.0,25.82,1365.934065934066,0.0558882235528942,131.0,0.549618320610687
23.0,Male,71.3,1.77,171.0,134.0,50.0,1.34,1239.0,Cardio,35.0,2.5,3.0,3.0,18.17,924.6268656716418,0.03506311360448808,121.0,0.6942148760330579
45.0,Female,68.3,1.75,185.0,133.0,65.0,1.31,1595.0,Strength,29.1,2.5,4.0,2.0,13.23,1217.557251908397,0.036603221083455345,120.0,0.5666666666666667
39.0,Female,66.8,1.61,177.0,127.0,59.0,1.64,770.0,Yoga,28.0,3.1,4.0,1.0,17.16,469.51219512195127,0.04640718562874252,118.0,0.576271186440678
45.0,Male,53.9,1.68,169.0,141.0,71.0,1.59,1031.0,Yoga,19.2,2.1,3.0,3.0,20.62,648.4276729559748,0.03896103896103897,98.0,0.7142857142857143
33.0,Female,97.1,1.86,166.0,127.0,72.0,1.39,1783.0,HIIT,11.0,1.5,4.0,1.0,16.27,1282.7338129496404,0.015447991761071062,94.0,0.5851063829787234
27.0,Female,40.0,1.57,178.0,169.0,52.0,1.32,949.0,Strength,28.4,3.1,3.0,2.0,21.11,718.9393939393939,0.0775,126.0,0.9285714285714286
37.0,Male,62.1,1.85,196.0,151.0,64.0,1.28,943.0,HIIT,26.7,3.3,4.0,1.0,20.37,736.71875,0.05314009661835748,132.0,0.6590909090909091
28.0,Male,60.7,1.73,198.0,124.0,70.0,1.34,1212.0,Cardio,24.8,2.0,2.0,1.0,20.21,904.4776119402984,0.032948929159802305,128.0,0.421875
18.0,Male,46.9,1.84,185.0,147.0,65.0,1.29,1040.0,HIIT,21.8,1.7,3.0,1.0,13.0,806.2015503875969,0.03624733475479744,120.0,0.6833333333333333
18.0,Female,90.8,1.66,182.0,134.0,56.0,1.77,990.0,Yoga,10.0,1.8,4.0,2.0,22.03,559.3220338983051,0.019823788546255508,126.0,0.6190476190476191
24.0,Female,44.0,1.79,193.0,164.0,62.0,1.84,622.0,Strength,26.3,3.5,4.0,2.0,14.27,338.04347826086956,0.07954545454545454,131.0,0.7786259541984732
27.0,Female,75.1,1.86,175.0,165.0,70.0,1.29,765.0,Strength,27.0,3.5,4.0,2.0,14.22,593.0232558139535,0.04660452729693742,105.0,0.9047619047619048
23.0,Female,74.2,1.71,199.0,150.0,57.0,1.05,1166.0,Cardio,34.5,3.3,3.0,1.0,12.32,1110.4761904761904,0.0444743935309973,142.0,0.6549295774647887
23.0,Female,58.2,1.85,196.0,130.0,57.0,1.36,582.0,HIIT,25.7,1.5,4.0,1.0,35.08,427.94117647058823,0.02577319587628866,139.0,0.5251798561151079
